row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,municipio,proyecto_codigo,proyecto_nombre,tipo_asistencia,linea_enfoque,es_nueva_asistencia,cuenta_indicador_asistencia,sectores,resultado_mes,observaciones
378,asistencias,,,,,NaT,False,,,,,,,False,False,,,
379,asistencias,,,,,NaT,False,,,,,,,False,False,,,
380,asistencias,,,,,NaT,False,,,,,,,False,False,,,
381,asistencias,,,,,NaT,False,,,,,,,False,False,,,
382,asistencias,,,,,NaT,False,,,,,,,False,False,,,
383,asistencias,,,,,NaT,False,,,,,,,False,False,,,
384,asistencias,,,,,NaT,False,,,,,,,False,False,,,
385,asistencias,,,,,NaT,False,,,,,,,False,False,,,
386,asistencias,,,,,NaT,False,,,,,,,False,False,,,
387,asistencias,,,,,NaT,False,,,,,,,False,False,,,
388,asistencias,,,,,NaT,False,,,,,,,False,False,,,
389,asistencias,,,,,NaT,False,,,,,,,False,False,,,
390,asistencias,,,,,NaT,False,,,,,,,False,False,,,
391,asistencias,,,,,NaT,False,,,,,,,False,False,,,
392,asistencias,,,,,NaT,False,,,,,,,False,False,,,
