row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_estado_incompleto,tipo_reunion,tema_principal,instituciones_participantes,acuerdos_principales,is_codema,is_mesa_dep,is_mesa_municipal,municipios
274,reuniones,,,,,,False,,False,,,,,False,False,False,
275,reuniones,,,,,,False,,False,,,,,False,False,False,
276,reuniones,,,,,,False,,False,,,,,False,False,False,
277,reuniones,,,,,,False,,False,,,,,False,False,False,
278,reuniones,,,,,,False,,False,,,,,False,False,False,
279,reuniones,,,,,,False,,False,,,,,False,False,False,
280,reuniones,,,,,,False,,False,,,,,False,False,False,
281,reuniones,,,,,,False,,False,,,,,False,False,False,
282,reuniones,,,,,,False,,False,,,,,False,False,False,
283,reuniones,,,,,,False,,False,,,,,False,False,False,
284,reuniones,,,,,,False,,False,,,,,False,False,False,
285,reuniones,,,,,,False,,False,,,,,False,False,False,
286,reuniones,,,,,,False,,False,,,,,False,False,False,
287,reuniones,,,,,,False,,False,,,,,False,False,False,
288,reuniones,,,,,,False,,False,,,,,False,False,False,
289,reuniones,,,,,,False,,False,,,,,False,False,False,
290,reuniones,,,,,,False,,False,,,,,False,False,False,
291,reuniones,,,,,,False,,False,,,,,False,False,False,
292,reuniones,,,,,,False,,False,,,,,False,False,False,
293,reuniones,,,,,,False,,False,,,,,False,False,False,
294,reuniones,,,,,,False,,False,,,,,False,False,False,
295,reuniones,,,,,,False,,False,,,,,False,False,False,
296,reuniones,,,,,,False,,False,,,,,False,False,False,
297,reuniones,,,,,,False,,False,,,,,False,False,False,
298,reuniones,,,,,,False,,False,,,,,False,False,False,
299,reuniones,,,,,,False,,False,,,,,False,False,False,
300,reuniones,,,,,,False,,False,,,,,False,False,False,
301,reuniones,,,,,,False,,False,,,,,False,False,False,
302,reuniones,,,,,,False,,False,,,,,False,False,False,
303,reuniones,,,,,,False,,False,,,,,False,False,False,
304,reuniones,,,,,,False,,False,,,,,False,False,False,
305,reuniones,,,,,,False,,False,,,,,False,False,False,
306,reuniones,,,,,,False,,False,,,,,False,False,False,
307,reuniones,,,,,,False,,False,,,,,False,False,False,
308,reuniones,,,,,,False,,False,,,,,False,False,False,
309,reuniones,,,,,,False,,False,,,,,False,False,False,
310,reuniones,,,,,,False,,False,,,,,False,False,False,
311,reuniones,,,,,,False,,False,,,,,False,False,False,
312,reuniones,,,,,,False,,False,,,,,False,False,False,
313,reuniones,,,,,,False,,False,,,,,False,False,False,
314,reuniones,,,,,,False,,False,,,,,False,False,False,
315,reuniones,,,,,,False,,False,,,,,False,False,False,
316,reuniones,,,,,,False,,False,,,,,False,False,False,
317,reuniones,,,,,,False,,False,,,,,False,False,False,
318,reuniones,,,,,,False,,False,,,,,False,False,False,
319,reuniones,,,,,,False,,False,,,,,False,False,False,
320,reuniones,,,,,,False,,False,,,,,False,False,False,
321,reuniones,,,,,,False,,False,,,,,False,False,False,
322,reuniones,,,,,,False,,False,,,,,False,False,False,
323,reuniones,,,,,,False,,False,,,,,False,False,False,
324,reuniones,,,,,,False,,False,,,,,False,False,False,
325,reuniones,,,,,,False,,False,,,,,False,False,False,
326,reuniones,,,,,,False,,False,,,,,False,False,False,
327,reuniones,,,,,,False,,False,,,,,False,False,False,
328,reuniones,,,,,,False,,False,,,,,False,False,False,
329,reuniones,,,,,,False,,False,,,,,False,False,False,
330,reuniones,,,,,,False,,False,,,,,False,False,False,
331,reuniones,,,,,,False,,False,,,,,False,False,False,
332,reuniones,,,,,,False,,False,,,,,False,False,False,
333,reuniones,,,,,,False,,False,,,,,False,False,False,
334,reuniones,,,,,,False,,False,,,,,False,False,False,
335,reuniones,,,,,,False,,False,,,,,False,False,False,
336,reuniones,,,,,,False,,False,,,,,False,False,False,
337,reuniones,,,,,,False,,False,,,,,False,False,False,
338,reuniones,,,,,,False,,False,,,,,False,False,False,
339,reuniones,,,,,,False,,False,,,,,False,False,False,
340,reuniones,,,,,,False,,False,,,,,False,False,False,
341,reuniones,,,,,,False,,False,,,,,False,False,False,
342,reuniones,,,,,,False,,False,,,,,False,False,False,
343,reuniones,,,,,,False,,False,,,,,False,False,False,
344,reuniones,,,,,,False,,False,,,,,False,False,False,
345,reuniones,,,,,,False,,False,,,,,False,False,False,
346,reuniones,,,,,,False,,False,,,,,False,False,False,
347,reuniones,,,,,,False,,False,,,,,False,False,False,
348,reuniones,,,,,,False,,False,,,,,False,False,False,
349,reuniones,,,,,,False,,False,,,,,False,False,False,
350,reuniones,,,,,,False,,False,,,,,False,False,False,
351,reuniones,,,,,,False,,False,,,,,False,False,False,
352,reuniones,,,,,,False,,False,,,,,False,False,False,
353,reuniones,,,,,,False,,False,,,,,False,False,False,
354,reuniones,,,,,,False,,False,,,,,False,False,False,
355,reuniones,,,,,,False,,False,,,,,False,False,False,
356,reuniones,,,,,,False,,False,,,,,False,False,False,
357,reuniones,,,,,,False,,False,,,,,False,False,False,
358,reuniones,,,,,,False,,False,,,,,False,False,False,
359,reuniones,,,,,,False,,False,,,,,False,False,False,
360,reuniones,,,,,,False,,False,,,,,False,False,False,
361,reuniones,,,,,,False,,False,,,,,False,False,False,
362,reuniones,,,,,,False,,False,,,,,False,False,False,
363,reuniones,,,,,,False,,False,,,,,False,False,False,
364,reuniones,,,,,,False,,False,,,,,False,False,False,
365,reuniones,,,,,,False,,False,,,,,False,False,False,
366,reuniones,,,,,,False,,False,,,,,False,False,False,
367,reuniones,,,,,,False,,False,,,,,False,False,False,
368,reuniones,,,,,,False,,False,,,,,False,False,False,
369,reuniones,,,,,,False,,False,,,,,False,False,False,
370,reuniones,,,,,,False,,False,,,,,False,False,False,
371,reuniones,,,,,,False,,False,,,,,False,False,False,
372,reuniones,,,,,,False,,False,,,,,False,False,False,
373,reuniones,,,,,,False,,False,,,,,False,False,False,
374,reuniones,,,,,,False,,False,,,,,False,False,False,
375,reuniones,,,,,,False,,False,,,,,False,False,False,
376,reuniones,,,,,,False,,False,,,,,False,False,False,
