row_number,module_name,fecha,anio,mes_num,mes_nombre,periodo,registro_valido,estado_fila_norm,row_alert_municipio_missing,row_alert_estado_incompleto,modalidad,tipo_actividad,participantes_totales,n_tecnicos,n_operarios,n_otro_personal,instituciones_participantes,observaciones,municipios,temas,temas_nucleo,has_core_theme
278,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
279,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
280,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
281,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
282,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
283,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
284,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
285,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
286,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
287,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
288,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
289,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
290,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
291,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
292,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
293,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
294,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
295,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
296,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
297,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
298,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
299,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
300,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
301,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
302,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
303,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
304,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
305,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
306,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
307,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
308,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
309,capacitaciones,,,,,,False,,False,False,,,0.0,,,,,,,,,False
