programa,anio,mes_num,mes,zona_codigo,municipio_origen,material,cantidad,pagado_unit_gtq,precio_vendido_unit_gtq,gtq_total_pagados,ingreso_total_venta,ingreso_cooperativa
atitlan_recicla,2026,1,ENE,T,T - Santa Lucía Utatlán,PET transparente,3.63,35.0,40.0,127.05,145.2,18.14999999999999
atitlan_recicla,2026,1,ENE,T,T - Santa Lucía Utatlán,PET verde,0.55,15.0,15.0,8.25,8.25,0.0
atitlan_recicla,2026,1,ENE,T,T - Santa Lucía Utatlán,Plástico soplado (PEAD),1.2,30.0,35.0,36.0,42.0,6.0
atitlan_recicla,2026,1,ENE,T,T - Santa Lucía Utatlán,Quintal vidrio AM,3.26,20.0,22.0,65.19999999999999,71.72,6.52000000000001
atitlan_recicla,2026,1,ENE,T,T - Santa Lucía Utatlán,Quintal vidrio TR,12.34,20.0,22.0,246.8,271.48,24.680000000000007
atitlan_recicla,2026,1,ENE,T,T - Santa María Visitación,Quintal vidrio TR,2.94,20.0,22.0,58.8,64.67999999999999,5.8799999999999955
atitlan_recicla,2026,1,ENE,ZS,ZS - San Lucas Tolimán,Aluminio latas,2.55,370.0,400.0,943.4999999999999,1019.9999999999999,76.5
atitlan_recicla,2026,1,ENE,ZS,ZS - San Lucas Tolimán,Cartón,28.7,10.0,10.0,287.0,287.0,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - San Lucas Tolimán,Chatarra 2da.,27.97,20.0,20.0,559.4,559.4,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - San Lucas Tolimán,PET celeste,2.7,20.0,20.0,54.0,54.0,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - San Lucas Tolimán,PET transparente,35.45,50.0,50.0,1772.5000000000002,1772.5000000000002,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - San Lucas Tolimán,PET verde,2.2,15.0,15.0,33.0,33.0,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - San Lucas Tolimán,Papel mixto,7.98,30.0,30.0,239.4,239.4,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - San Lucas Tolimán,Plástico duro (PP),8.18,35.0,40.0,286.3,327.2,40.89999999999998
atitlan_recicla,2026,1,ENE,ZS,ZS - San Lucas Tolimán,Plástico soplado (PEAD),5.8,35.0,40.0,203.0,232.0,29.0
atitlan_recicla,2026,1,ENE,ZS,ZS - San Lucas Tolimán,Quintal vidrio mixto,85.0,23.0,23.0,1955.0,1955.0,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - San Lucas Tolimán,Quintal vidrio sucio,53.0,8.0,8.0,424.0,424.0,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - Santiago Atitlán,Aluminio latas,2.4,370.0,400.0,888.0,960.0,72.0
atitlan_recicla,2026,1,ENE,ZS,ZS - Santiago Atitlán,Cartón,5.08,10.0,10.0,50.8,50.8,0.0
atitlan_recicla,2026,1,ENE,ZS,ZS - Santiago Atitlán,Chatarra 2da.,3.25,20.0,20.0,65.0,65.0,0.0
